timestamps,open,high,low,close,volume,amount,$factor
2010-11-01,2.7860162,2.8150373,2.768945,2.795576,380071.72,1062519.4,0.13065672
2010-11-02,2.8085713,2.8085713,2.7585523,2.7769895,476760.28,1323958.2,0.13065721
2010-11-03,2.7826338,2.827873,2.757027,2.7886088,323388.88,901805.06,0.13065746
2010-11-04,2.7988057,2.825949,2.7788324,2.817584,341576.78,962421.3,0.13065639
2010-11-05,2.8218517,2.8338013,2.7877095,2.7993178,265237.0,742482.7,0.13065639
2010-11-08,2.7995324,2.7997031,2.7527568,2.7909968,435445.06,1215325.8,0.13065742
2010-11-09,2.7928867,2.8439302,2.7778637,2.8314683,464862.78,1316244.2,0.1306577
2010-11-10,2.8440707,3.1146498,2.842363,3.068216,1148083.1,3522567.0,0.130657
2010-11-11,3.1067734,3.1067734,2.9722528,3.0031517,568033.0,1705889.2,0.1306565
2010-11-12,2.9968486,3.2107508,2.9963365,3.0306497,968187.7,2934237.8,0.1306568
2010-11-15,3.1067705,3.2093675,3.1067705,3.135791,604936.0,1896952.9,0.13065644
2010-11-16,3.175066,3.1752367,2.9789186,3.0248399,553295.7,1673630.9,0.13065667
2010-11-17,3.0028229,3.0028229,2.7962615,2.816747,616187.4,1735643.9,0.13065678
2010-11-18,2.843241,2.9186964,2.8338518,2.8934307,308333.06,892140.4,0.13065755
2010-11-19,2.9208694,3.0045178,2.905676,2.990178,374682.8,1120368.4,0.13065651
2010-11-22,2.9853966,3.11343,2.96696,3.047365,366922.56,1118147.0,0.13065648
2010-11-23,3.0451446,3.2298539,3.0079293,3.2271225,830190.94,2679128.0,0.13065645
2010-11-24,3.2776828,3.5269232,3.2776828,3.412887,848016.25,2894183.8,0.13065705
2010-11-25,3.4233234,3.476074,3.3630614,3.4649775,348849.06,1208754.1,0.13065748
2010-11-26,3.464952,3.630543,3.4246638,3.5378463,488297.0,1727519.8,0.130657
2010-11-29,3.5039003,3.789846,3.5039003,3.6947584,516613.25,1908761.1,0.13065748
2010-11-30,3.6936831,3.6936831,3.419862,3.4963408,502580.03,1757191.0,0.13065659
2010-12-01,3.465472,3.5508285,3.4145997,3.4552293,290961.66,1005339.25,0.13065715
2010-12-02,3.4859407,3.516669,3.378563,3.3830016,328647.88,1111816.2,0.13065684
2010-12-03,3.380138,3.47386,3.3750167,3.4106958,329390.12,1123449.5,0.13065758
2010-12-06,3.4116883,3.4483914,3.2454143,3.2950919,331261.16,1091536.0,0.13065697
2010-12-07,3.275818,3.3937812,3.2411633,3.3726127,243421.52,820966.5,0.13065732
2010-12-08,3.3715878,3.4449942,3.3461516,3.3490536,216862.6,726284.44,0.1306573
2010-12-09,3.3457603,3.3592465,3.282768,3.3332984,187219.4,624058.1,0.13065633
2010-12-10,3.300719,3.3951232,3.2606018,3.3753204,302986.84,1022677.7,0.13065685
2010-12-13,3.37157,3.37157,3.3032851,3.3628638,448447.8,1508068.9,0.13065696
2010-12-14,3.3683028,3.4398305,3.3595965,3.3785455,471026.84,1591385.6,0.1306565
2010-12-15,3.3800886,3.471078,3.3800886,3.4261806,362965.12,1243584.1,0.13065663
2010-12-16,3.6189165,3.6276228,3.525196,3.5333903,511398.12,1806969.1,0.13065667
2010-12-17,3.5508091,3.5712945,3.4792807,3.489694,396227.56,1382713.0,0.1306568
2010-12-20,3.516323,3.5279315,3.3118103,3.369511,524712.6,1768024.9,0.13065675
2010-12-21,3.3689954,3.373434,3.2949066,3.3118072,454315.97,1504606.9,0.13065669
2010-12-22,3.3130527,3.3202226,3.243572,3.2597897,337915.22,1101532.5,0.13065769
2010-12-23,3.2580442,3.289626,3.2435336,3.2556543,250609.69,815898.5,0.13065691
2010-12-24,3.2556784,3.2590928,3.1923437,3.2217066,225081.16,725145.44,0.1306574
2010-12-27,3.2264493,3.2433498,3.1122432,3.1238515,346300.0,1081789.8,0.13065664
